200	7.09826
225	7.93327
250	8.88071
275	9.81788
300	10.6957
325	11.5113
350	10.4778
375	13.3666
400	14.2257
425	15.1507
450	16.0923
475	16.9632
500	17.5802
525	18.7127
550	19.607
575	20.4726
600	21.3088
625	22.2795
650	23.0381
675	23.7214
700	24.8
725	25.8384
750	26.8912
775	27.688
800	28.5297
825	29.656
850	30.4739
875	31.1436
900	32.3035
925	33.132
950	34.1739
975	34.6272
1000	35.6863
1025	36.6559
1050	37.3386
1075	38.1786
1100	39.2328
1125	40.0897
1150	41.2207
1175	42.2756
1200	43.0235
1225	43.9336
1250	44.8801
1275	45.0214
1300	46.4888
1325	47.763
1350	48.5369
1375	49.0149
1400	49.9873
1425	51.304
1450	42.9746
1475	52.2638
1500	53.0927
1525	54.761
1550	54.6097
1575	56.608
1600	57.5041
1625	58.3627
1650	58.075
1675	60.4206
1700	61.1101
1725	60.7293
1750	61.992
1775	63.9322
1800	64.7211
1825	65.6106
1850	66.0787
1875	67.1267
1900	67.6469
1925	69.022
1950	70.1025
1975	70.1059
2000	70.1478
2025	70.1567
2050	70.2311
2075	70.1925
2100	70.1499
2125	70.1818
2150	70.1649
2175	70.2209
2200	70.1431
2225	70.2585
2250	70.1653
2275	70.2021
2300	70.0982
2325	70.1567
2350	70.1359
2375	70.1666
2400	70.1312
2425	70.183
2450	70.1931
2475	70.2506
2500	70.0841
